#REGION#HEADER#
Generatedtime
1729363394
#REGION#ECONOMY#
Name,X,Y,Z,Faction,FreePort,Beneficiary
ECO-NPC Space Base,-1.00,-1.00,-1.00,ECO-NPC,False,nobody
GLF-NPC Space Outpost,25182090.00,15556280.00,99308590.00,GLF-NPC,False,nobody
Moonlet Space Complex 1,62819100.00,-9161121.00,57884200.00,nobody,False,nobody
Moonlet Space Facility 1,144893600.00,-13833510.00,-12609610.00,nobody,False,nobody
Moonlet Space Depot 1,-73344370.00,12684390.00,-106470200.00,nobody,False,nobody
Moonlet Space Terminal 2,-73378060.00,12691740.00,-106469900.00,nobody,False,nobody
Moonlet Space Outpost 1,-53591950.00,9097461.00,-74358950.00,nobody,False,nobody
Moonlet Space Outpost 1,98085070.00,-9815174.00,587700.30,nobody,False,nobody
Moonlet Space Hub 2,98103590.00,-9822982.00,557636.80,nobody,False,nobody
Moonlet Spaceport 1,53001920.00,-2728209.00,-50670010.00,nobody,False,nobody
Moonlet Space Station 1,-40590990.00,61505.32,80096360.00,nobody,False,nobody
Moonlet Space Complex 1,71107700.00,-3415349.00,-73525050.00,nobody,False,nobody
Moonlet Space Habitat 1,-23917790.00,7174183.00,-95696900.00,nobody,False,nobody
Moonlet Complex 2,-23924890.00,7204976.00,-95687000.00,nobody,False,nobody
Moonlet Space Installation 1,103390800.00,-8159956.00,-43399290.00,nobody,False,nobody
Moonlet Space Complex 1,-76743980.00,3781140.00,78559730.00,nobody,False,nobody
Moonlet Spaceport 1,22962410.00,1661891.00,-78463650.00,nobody,False,nobody
Moonlet Outpost 2,22927630.00,1641049.00,-78469940.00,nobody,False,nobody
Moonlet Space Base 1,95453420.00,-6175628.00,-67375550.00,nobody,False,nobody
Moonlet Space Terminal 1,85745530.00,-7126898.00,-28855380.00,nobody,False,nobody
Moonlet Space Terminal 2,85729020.00,-7091661.00,-28859650.00,nobody,False,nobody
Moonlet Space Complex 1,32645650.00,-9169599.00,118209000.00,nobody,False,nobody
Moonlet Space Station 1,47679080.00,-8570170.00,76800140.00,nobody,False,nobody
Moonlet Station 2,47689620.00,-8588053.00,76803690.00,nobody,False,nobody
#REGION#TERRITORY#
Name,X,Y,Z,Radius,Faction
ECO-NPC Space Base,-68863480.00,-18172734.00,-19673292.00,500000,ECO-NPC
GLF-NPC Space Outpost,25182094.00,15556277.00,99308592.00,500000,GLF-NPC
#REGION#FACTIONS#
FactionTag,Economy,Military,Friendly,Neutral,Enemy,Color
ECO-NPC,100,100,,,ECO-NPC/GLF-NPC/Danger,0.00 -0.80 -0.45
GLF-NPC,100,100,,,ECO-NPC/GLF-NPC/Danger,0.00 -0.80 -0.45
#REGION#PLANETS#
EntityId,Planet,Owner,Control,SpaceSiege,PlanetSiege
